"DATE","TIME PERIOD","Net Circulation - number of banknotes/coins in circulation in Euro Area (BKN.M.U2.NC10.B.ALLD.AS.S.E)"
"2002-01-31","2002Jan","221480768"
"2002-02-28","2002Feb","246535448"
"2002-03-31","2002Mar","264149836"
"2002-04-30","2002Apr","271138424"
"2002-05-31","2002May","281820756"
"2002-06-30","2002Jun","293023436"
"2002-07-31","2002Jul","304764658"
"2002-08-31","2002Aug","307475452"
"2002-09-30","2002Sep","312440031"
"2002-10-31","2002Oct","320874442"
"2002-11-30","2002Nov","326467795"
"2002-12-31","2002Dec","358534839"
"2003-01-31","2003Jan","339525662"
"2003-02-28","2003Feb","345421572"
"2003-03-31","2003Mar","352780793"
"2003-04-30","2003Apr","365797282"
"2003-05-31","2003May","371008206"
"2003-06-30","2003Jun","378041806"
"2003-07-31","2003Jul","390010940"
"2003-08-31","2003Aug","390447256"
"2003-09-30","2003Sep","392650768"
"2003-10-31","2003Oct","398366089"
"2003-11-30","2003Nov","405232957"
"2003-12-31","2003Dec","436130692"
"2004-01-31","2004Jan","415615456"
"2004-02-29","2004Feb","418915768"
"2004-03-31","2004Mar","425347935"
"2004-04-30","2004Apr","435413920"
"2004-05-31","2004May","444234165"
"2004-06-30","2004Jun","449689164"
"2004-07-31","2004Jul","463155899"
"2004-08-31","2004Aug","460208292"
"2004-09-30","2004Sep","465027291"
"2004-10-31","2004Oct","471256221"
"2004-11-30","2004Nov","476100219"
"2004-12-31","2004Dec","501259151"
"2005-01-31","2005Jan","486413192"
"2005-02-28","2005Feb","488878687"
"2005-03-31","2005Mar","500184024"
"2005-04-30","2005Apr","506964298"
"2005-05-31","2005May","512605721"
"2005-06-30","2005Jun","524129158"
"2005-07-31","2005Jul","533795376"
"2005-08-31","2005Aug","527438776"
"2005-09-30","2005Sep","533209866"
"2005-10-31","2005Oct","537450277"
"2005-11-30","2005Nov","541551296"
"2005-12-31","2005Dec","565217276"
"2006-01-31","2006Jan","546957743"
"2006-02-28","2006Feb","551104193"
"2006-03-31","2006Mar","557150572"
"2006-04-30","2006Apr","568832116"
"2006-05-31","2006May","570836913"
"2006-06-30","2006Jun","580133959"
"2006-07-31","2006Jul","589466489"
"2006-08-31","2006Aug","585518999"
"2006-09-30","2006Sep","589237967"
"2006-10-31","2006Oct","594729419"
"2006-11-30","2006Nov","598562758"
"2006-12-31","2006Dec","628242095"
"2007-01-31","2007Jan","602278586"
"2007-02-28","2007Feb","604215924"
"2007-03-31","2007Mar","613562381"
"2007-04-30","2007Apr","621220119"
"2007-05-31","2007May","625389876"
"2007-06-30","2007Jun","633038372"
"2007-07-31","2007Jul","640249166"
"2007-08-31","2007Aug","637143970"
"2007-09-30","2007Sep","637249306"
"2007-10-31","2007Oct","641791024"
"2007-11-30","2007Nov","645657332"
"2007-12-31","2007Dec","676621275"
"2008-01-31","2008Jan","650367340"
"2008-02-29","2008Feb","653936204"
"2008-03-31","2008Mar","661183308"
"2008-04-30","2008Apr","669631858"
"2008-05-31","2008May","671821212"
"2008-06-30","2008Jun","678547646"
"2008-07-31","2008Jul","686544743"
"2008-08-31","2008Aug","683373228"
"2008-09-30","2008Sep","683888358"
"2008-10-31","2008Oct","727552964"
"2008-11-30","2008Nov","731304489"
"2008-12-31","2008Dec","762774832"
"2009-01-31","2009Jan","739779264"
"2009-02-28","2009Feb","741904747"
"2009-03-31","2009Mar","747044182"
"2009-04-30","2009Apr","758999457"
"2009-05-31","2009May","761271932"
"2009-06-30","2009Jun","763718606"
"2009-07-31","2009Jul","772667494"
"2009-08-31","2009Aug","767514339"
"2009-09-30","2009Sep","767182432"
"2009-10-31","2009Oct","771488198"
"2009-11-30","2009Nov","776096445"
"2009-12-31","2009Dec","806411528"
"2010-01-31","2010Jan","783539768"
"2010-02-28","2010Feb","784286690"
"2010-03-31","2010Mar","797058106"
"2010-04-30","2010Apr","798145104"
"2010-05-31","2010May","805276379"
"2010-06-30","2010Jun","812057773"
"2010-07-31","2010Jul","820584239"
"2010-08-31","2010Aug","813932295"
"2010-09-30","2010Sep","813350261"
"2010-10-31","2010Oct","815022844"
"2010-11-30","2010Nov","816773623"
"2010-12-31","2010Dec","839702306"
"2011-01-31","2011Jan","821356018"
"2011-02-28","2011Feb","820244217"
"2011-03-31","2011Mar","824153152"
"2011-04-30","2011Apr","834364701"
"2011-05-31","2011May","837966948"
"2011-06-30","2011Jun","846958413"
"2011-07-31","2011Jul","855684954"
"2011-08-31","2011Aug","849781513"
"2011-09-30","2011Sep","857321441"
"2011-10-31","2011Oct","864369460"
"2011-11-30","2011Nov","867787998"
"2011-12-31","2011Dec","888629021"
"2012-01-31","2012Jan","868851504"
"2012-02-29","2012Feb","867321289"
"2012-03-31","2012Mar","869923870"
"2012-04-30","2012Apr","873859829"
"2012-05-31","2012May","883004597"
"2012-06-30","2012Jun","893719845"
"2012-07-31","2012Jul","897864939"
"2012-08-31","2012Aug","896409942"
"2012-09-30","2012Sep","892477320"
"2012-10-31","2012Oct","891392845"
"2012-11-30","2012Nov","889699444"
"2012-12-31","2012Dec","912593020"
"2013-01-31","2013Jan","882536691"
"2013-02-28","2013Feb","879976669"
"2013-03-31","2013Mar","896357873"
"2013-04-30","2013Apr","901525053"
"2013-05-31","2013May","905225795"
"2013-06-30","2013Jun","911010762"
"2013-07-31","2013Jul","918360960"
"2013-08-31","2013Aug","919356687"
"2013-09-30","2013Sep","918590300"
"2013-10-31","2013Oct","924230121"
"2013-11-30","2013Nov","927470167"
"2013-12-31","2013Dec","956184806"
"2014-01-31","2014Jan","932197059"
"2014-02-28","2014Feb","933659411"
"2014-03-31","2014Mar","939254684"
"2014-04-30","2014Apr","948892258"
"2014-05-31","2014May","953688033"
"2014-06-30","2014Jun","959307563"
"2014-07-31","2014Jul","969488939"
"2014-08-31","2014Aug","971184389"
"2014-09-30","2014Sep","971340188"
"2014-10-31","2014Oct","975136922"
"2014-11-30","2014Nov","980928873"
"2014-12-31","2014Dec","1016538111"
"2015-01-31","2015Jan","1003843821"
"2015-02-28","2015Feb","1006737068"
"2015-03-31","2015Mar","1016217608"
"2015-04-30","2015Apr","1026398801"
"2015-05-31","2015May","1031873907"
"2015-06-30","2015Jun","1041902829"
"2015-07-31","2015Jul","1056874063"
"2015-08-31","2015Aug","1054350272"
"2015-09-30","2015Sep","1052246082"
"2015-10-31","2015Oct","1053754009"
"2015-11-30","2015Nov","1058699969"
"2015-12-31","2015Dec","1083430316"
"2016-01-31","2016Jan","1062612491"
"2016-02-29","2016Feb","1063192810"
"2016-03-31","2016Mar","1070972568"
"2016-04-30","2016Apr","1073591478"
"2016-05-31","2016May","1077350062"
"2016-06-30","2016Jun","1086563393"
"2016-07-31","2016Jul","1096975367"
"2016-08-31","2016Aug","1093161540"
"2016-09-30","2016Sep","1096259939"
"2016-10-31","2016Oct","1101767176"
"2016-11-30","2016Nov","1103039726"
"2016-12-31","2016Dec","1126221690"
"2017-01-31","2017Jan","1109105427"
"2017-02-28","2017Feb","1111047685"
"2017-03-31","2017Mar","1114460452"
"2017-04-30","2017Apr","1125261579"
"2017-05-31","2017May","1126126308"
"2017-06-30","2017Jun","1136887306"
"2017-07-31","2017Jul","1142809566"
"2017-08-31","2017Aug","1141264668"
"2017-09-30","2017Sep","1143526840"
"2017-10-31","2017Oct","1147008562"
"2017-11-30","2017Nov","1145054884"
"2017-12-31","2017Dec","1170726053"
"2018-01-31","2018Jan","1147088931"
"2018-02-28","2018Feb","1147370430"
"2018-03-31","2018Mar","1164162995"
"2018-04-30","2018Apr","1166405538"
"2018-05-31","2018May","1171173065"
"2018-06-30","2018Jun","1181531453"
"2018-07-31","2018Jul","1189497454"
"2018-08-31","2018Aug","1193013186"
"2018-09-30","2018Sep","1194832590"
"2018-10-31","2018Oct","1199676693"
"2018-11-30","2018Nov","1203276393"
"2018-12-31","2018Dec","1231133049"
"2019-01-31","2019Jan","1208656631"
"2019-02-28","2019Feb","1210773938"
"2019-03-31","2019Mar","1216083049"
"2019-04-30","2019Apr","1229181435"
"2019-05-31","2019May","1231167064"
"2019-06-30","2019Jun","1239322341"
"2019-07-31","2019Jul","1250135549"
"2019-08-31","2019Aug","1250757230"
"2019-09-30","2019Sep","1252728150"
"2019-10-31","2019Oct","1258576378"
"2019-11-30","2019Nov","1265099613"
"2019-12-31","2019Dec","1292736305"
"2020-01-31","2020Jan","1273862281"
"2020-02-29","2020Feb","1278651056"
"2020-03-31","2020Mar","1314472720"
"2020-04-30","2020Apr","1334087090"
"2020-05-31","2020May","1353301596"
"2020-06-30","2020Jun","1364149846"
"2020-07-31","2020Jul","1377799254"
"2020-08-31","2020Aug","1383240983"
"2020-09-30","2020Sep","1385992621"
"2020-10-31","2020Oct","1393965404"
"2020-11-30","2020Nov","1404016799"
"2020-12-31","2020Dec","1434502927"
"2021-01-31","2021Jan","1427550112"
"2021-02-28","2021Feb","1434906924"
"2021-03-31","2021Mar","1447987890"
"2021-04-30","2021Apr","1455120025"
"2021-05-31","2021May","1470055926"
"2021-06-30","2021Jun","1481661954"
"2021-07-31","2021Jul","1497857073"
"2021-08-31","2021Aug","1499636217"
"2021-09-30","2021Sep","1505000467"
"2021-10-31","2021Oct","1513247893"
"2021-11-30","2021Nov","1519279484"
"2021-12-31","2021Dec","1544370485"
"2022-01-31","2022Jan","1539487022"
"2022-02-28","2022Feb","1547789420"
"2022-03-31","2022Mar","1574378171"
"2022-04-30","2022Apr","1587431924"
"2022-05-31","2022May","1593957965"
"2022-06-30","2022Jun","1602609505"
"2022-07-31","2022Jul","1600825111"
"2022-08-31","2022Aug","1575883038"
"2022-09-30","2022Sep","1565965273"
"2022-10-31","2022Oct","1563136608"
"2022-11-30","2022Nov","1558231555"
"2022-12-31","2022Dec","1571986948"
"2023-01-31","2023Jan","1556441803"
"2023-02-28","2023Feb","1552487463"
"2023-03-31","2023Mar","1555827783"
"2023-04-30","2023Apr","1562813622"
"2023-05-31","2023May","1563387098"
"2023-06-30","2023Jun","1565414807"
"2023-07-31","2023Jul","1568574005"
"2023-08-31","2023Aug","1561867433"
"2023-09-30","2023Sep","1557284750"
"2023-10-31","2023Oct","1552833076"
"2023-11-30","2023Nov","1548503928"
"2023-12-31","2023Dec","1567174847"
